Snow Partridge,317
Tibetan Snowcock,715
Altai Snowcock,244
Himalayan Snowcock,536
Pheasant Grouse,356
Sichuan Pheasant Partridge,366
Chukar,375
Rusty-necklaced Partridge,223
Chinese Francolin,261
Grey Partridge,432
Daurian Partridge,782
Tibetan Partridge,424
Common Quail,790
Japanese Quail,465
Blue-breasted Quail,420
Hill Partridge,509
Rufous-throated Partridge,571
White-cheeked Partridge,400
White-throated Hill Partridge,697
Red-breasted Hill Partridge,686
Brown-breasted Hill Partridge,410
Sichuan Partridge,343
White-necklaced Partridge,329
Hainan Partridge,205
Scaly-breasted Partridge,623
Mountain Bamboo-Partridge,309
Chinese Bamboo-Partridge,569
Blood Pheasant,715
Western Tragopan,209
Satyr Tragopan,529
Grey-bellied Tragopan,702
Temminck's Tragopan,358
Yellow-bellied Tragopan,637
Yellow-necked koklass pheasa,416
Himalayan Monal Pheasant,617
Sclater's Monal Pheasant,230
Chinese Monal Pheasant,381
Red Junglefowl,87
Kalij Pheasant,445
Silver Pheasant,395
Taiwan Blue Pheasant,682
Tibetan Eared-pheasant,752
White Eared-Pheasant,680
Brown Eared-Pheasant,575
Blue Eared Pheasant,590
White-necked Long-tailed Pheas,516
Mrs.Hume's Pheasant,262
Taiwan Long-tailed Pheasant,807
White-crowned Long-tailed Phea,224
Common Pheasant,433
Golden Pheasant,280
Lady Amherst's Pheasant,284
Hainan grey peacock-pheasant,373
Hainan Peacock Pheasant,642
Green Peafowl,422
Sickle-winged Grouse,369
Willow Ptarmigan,0
Rock Ptarmigan,433
Black Grouse,372
Western Capercaillie,628
Spotted Capercaillie,277
Hazel Grouse,345
Chinese Hazel Grouse,213
Tree Duck,983
White-headed Stiff-tailed Duck,390
White Swan,535
Whooper Swan,428
Whistling Swan,172
Swan Goose,1322
Bean Goose,461
White-fronted Goose,476
Lesser White-fronted Goose,439
Greylag Goose,457
Bar-headed Goose,472
Snow Goose,425
Canada Goose,153
Brent Goose,442
Red-breasted Goose,437
Ruddy Shelduck,471
Crested Shelduck,431
Common Shelduck,452
Comb Duck,1269
Cotton Teal,33
Mandarin Duck,466
Gadwall,465
Falcated Duck,476
Wigeon,472
American Wigeon,486
Mallard,446
Spot-billed Duck,474
Philippine Duck,401
Shoveller,969
Pintail,428
Garganey,473
Baikal Teal,448
Common Teal,129
Marbled Teal,327
Red-crested Pochard,469
Common Pochard,468
Canvasback,442
White-eyed Pochard,1143
Baer's Pochard,678
Tufted Duck,464
Greater Scaup,480
Steller's Eider,683
Harlequin Duck,445
Long-tailed Duck,460
Black Scoter,463
White-winged Scoter,464
Common Goldeneye,464
Smew,1034
Red-breasted Merganser,937
Scaly-sided Merganser,282
Common Merganser,1176
Small Buttonquail,988
Yellow-legged Buttonquail,623
Barred Buttonquail,459
Yellow-rumped Honeyguide,414
Eurasian Wryneck,369
Speckled Piculet,0
White-browed Piculet,0
Grey-capped Woodpecker,398
Pygmy Woodpecker,401
Lesser Spotted Woodpecker,423
Fulvous-breasted Woodpecker,314
Stripe-breasted Woodpecker,412
Rufous-bellied Woodpecker,0
Crimson-breasted Woodpecker,0
Darjeeling Woodpecker,389
White-backed Woodpecker,374
Great Spotted Woodpecker,425
White-winged Woodpecker,441
Three-toed Woodpecker,406
Rufous Woodpecker,381
White-bellied Woodpecker,389
Black Woodpecker,412
Lesser Yellownape,288
Greater Yellownape,280
Laced Woodpecker,327
Streak-throated Woodpecker,409
Scaly-bellied Woodpecker,363
Red-collared Woodpecker,411
Grey-headed Woodpecker,440
Himalayan Flameback,387
Common Flameback,290
Greater Flameback,327
Pale-headed Woodpecker,411
Bay Woodpecker,251
Great Slaty Woodpecker,52
Greater Barbet,0
Lineated Barbet,0
Green-eared Barbet,0
Golden-throated Barbet,0
Black-browed Barbet,0
Blue-throated Barbet,0
Blue-eared Barbet,0
Coppersmith Barbet,0
Oriental Pied Hornbill,0
Great Pied Hornbill,0
White-throated Brown hornbill,0
Rufous-necked Hornbill,0
Wreathed Hornbill,0
Eurasian Hoopoe,0
Orange-breasted Trogon,0
Red-headed Trogon,0
Harpactes wardi,0
European Roller,0
Indian Roller,0
Dollarbird,0
Blyth's Kingfisher,0
Common Kingfisher,0
Blue-eared Kingfisher,0
Three-toed Kingfisher,0
Stork-billed Kingfisher,0
Ruddy Kingfisher,0
White-throated Kingfisher,0
Black-capped Kingfisher,0
Collared Kingfisher,0
Crested Kingfisher,0
Pied Kingfisher,0
Blue-bearded Bee-eater,0
Little Green Bee-eater,0
Blue-throated Bee-eater,0
Blue-tailed Bee-eater,0
European Bee-eater,0
Chestnut-headed Bee-eater,0
Pied Cuckoo,0
Chestnut-winged Cuckoo,0
Large Hawk-Cuckoo,0
Common Hawk Cuckoo,0
Hodgson's Hawk-Cuckoo,0
Indian Cuckoo,0
Eurasian Cuckoo,0
Oriental Cuckoo,0
Lesser Cuckoo,0
Cuckoo Banded Bay,0
Plaintive Cuckoo,0
Asian Emerald Cuckoo,0
Violet Cuckoo,0
Drongo Cuckoo,0
Asian Koel,0
Green-billed Malkoha,0
Greater Coucal,0
Lesser Coucal,0
Rainbow Lorikeet,0
Yellow-crested Cockatoo,0
Vernal Hanging-Parrot,0
Rose-ringed Parakeet,0
Slaty-headed Parakeet,0
Blossom-headed Parakeet,0
Derby's Parakeet,0
Red-breasted Parakeet,0
Long-tailed Parakeet,0
Himalayan Swiftlet,0
Germain's Swiftlet,0
White-throated Needletail,0
Silver-backed Needletail,0
Asian Palm swift,0
Alpine Swift,0
Common Swift,0
Fork-tailed Swift,0
HouseSwift,0
Crested Treeswift,0
Barn Owl,0
Grass Owl,0
Oriental Bay Owl,0
Sptoted Scops Owl,0
Striated Scops Owl,0
Scops Owl,0
Oriental Scops Owl,0
Elegant Scops Owl,0
Collared Scops Owl,0
Eurasian Eagle Owl,0
Spot-bellied Eagle Owl,0
Dusky Horned owl,0
Blakiston's Fish Owl,0
Brown Fish Owl,0
Tawny Fish Owl,0
Snowy Owl,0
Brown Wood Owl,0
Tawny Wood Owl,0
Ural Owl,0
Sichuan Wood-owl,0
Great Grey Owl,0
Northern Hawk Owl,0
Pigmy Owlet,0
Collared Owlet,0
Barred Owlet,0
Little Owl,0
Spotted Owlet,0
Tengalm's Owl,0
Brown Hawk Owl,0
Long-eared Owl,0
Short-eared Owl,0
Hodgson's Frogmouth,0
Great Eared Nightjar,0
Grey Nightjar,203
Eurasian Nightjar,321
Egyptian Nightjar,165
Vaurie's Nightjar,279
Large-tailed Nightjar,218
Savannah Nightjar,176
Rock Pigeon,323
Hill Pigeon,161
Snow Pigeon,178
Stock Pigeon,279
Yellow-eyed Pigeon,301
Common Wood Pigeon,328
Speckled Wood Pigeon,207
Ashy Wood Pigeon,335
Purple Wood Pigeon,199
Japanese Wood Pigeon日本,70
Turtle Dove,362
Oriental Turtle Dove,337
Palm Dove,200
Spotted Dove,328
Red Collared Dove,314
Eurasian Collared Dove,487
Bar-tailed Cuckoo Dove,407
Brown Cuckoo Dove,425
Little Cuckoo Dove,351
Emerald Dove,303
Orange-breasted Green-Pig,17
Pompadour Green Pigeon,388
Thick-billed Green Pigeon,309
Yellow-footed Green-Pigeo,354
Pin-tailed Green Pigeon,408
Wedge-tailed Green Pigeon,392
White-bellied Green-Pigeo,381
Whistling Green Pigeon,347
Black-chinned Fruit Pigeon,396
Green Imperial Pigeon,365
Mountain Imperial Pigeon,281
Little Bustard,370
Great Bustard,247
McQueen's Bustard,334
Siberian Crane,307
Sarus Crane,453
White-naped Crane,0
Sandhill Crane,459
Demoiselle Crane,476
Common Crane,464
Hooded Crane,271
Black-necked Crane,301
Red-crowned Crane,445
Swinhoe's Yellow Rail,237
Red-legged Crake,271
Slaty-legged Crake,370
Slaty-breasted Rail,288
Water Rail,175
Corn Crake,427
Brown Crake,309
White-breasted Waterhen,442
Rufous-backed Crake,421
Little Crake,216
Baillon's Crake,302
Spotted Crake,226
Ruddy-breasted Crake,267
Band-bellied Crake,246
White-Browed Crake,280
Watercock,222
Purple Swamphen,331
Common Moorhen,315
Common Coot,296
Tibetan Sandgrouse,259
Pallas's Sandgrouse,206
Black-bellied Sandgrouse,224
Eurasian Woodcock,219
Solitary Snipe,247
Latham's Snipe,361
Wood Snipe,172
Pintail Snipe,404
Swinhoe's Snipe,342
Common Snipe,319
Jack Snipe,267
Black-tailed Godwit,184
Bar-tailed Godwit,267
Little Curlew,406
Whimbrel,484
Eurasian Curlew,334
Far Eastern Curlew,304
Spotted Redshank,491
Common Redshank,476
Marsh Sandpiper,493
Common Greenshank,479
Spotted Greenshank,472
Lesser Yellowlegs,494
Green Sandpiper,338
Wood Sandpiper,488
Terek Sandpiper,337
Common Sandpiper,493
Grey-tailed Tattler,451
Wandering Tattler,468
Ruddy Turnstone,0
Long-billed Dowitcher,0
Asian Dowitcher,410
Great Knot,416
Red Knot,388
Sanderling,305
Western Sandpiper,342
Spoon-billed Sandpiper,307
Little Stint,337
Rufous-necked Stint,309
Temminck's Stint,335
Long-toed Stint,438
White-Rumped Sandpiper,490
Baird's Sandpiper,485
Pectoral Sandpiper,490
Sharp-tailed Sandpiper,319
Rock Sandpiper,318
Dunlin,336
Curlew Sandpiper,332
Stilt Sandpiper,334
Buff-Breasted Sandpiper,317
Broad-billed Sandpiper,308
Ruff,34
Red-necked Phalarope,135
Red Phalarope,0
Greater Painted-snipe,158
Pheasant-tailed Jacana,231
Bronze-winged Jacana,0
Eurasian Thick-knee,371
Great Thick-knee,303
Eurasian Oystercatcher,228
Ibisbill,280
Black-winged Stilt,471
Pied Avocet,310
Pacific Golden Plover,485
Grey Plover,488
Common Ringed Plover,294
Long-billed Plover,285
Little Ringed Plover,316
Kentish Plover,473
Malaysian Plover,307
Mongolian Plover,461
Greater Sand Plover,468
Caspian Plover,462
Oriental Plover,388
Eurasian Dotterel,307
Northern Lapwing,426
Spur-ainged Lapuiing,343
Grey-headed Lapwing,305
Red-wattled Lapwing,340
Collared Pratincole,329
Oriental Pratincole,375
Small Pratincole,303
Great Skua,670
Great Skua,670
Pomarine Jaeger,0
Parasitic Jaeger,444
Long-tailed Jaeger,444
Indian Skimmer,292
Black-tailed Gull,460
Mew Gull,476
Glaucous-winged Gull,343
Glaucous Gull,348
Slaty-backed Gull,479
Herring Gull,483
Heuglin's Gull,475
Vega Gull,165
Yellow-legged Gull,342
Pallas's Gull,327
Brown-headed Gull,317
Common Black-headed Gull,294
Slender-billed Gull,308
Saunders's Gull,236
Relict Gull,273
Little Gull,459
Ross's Gull,0
Sabine's Gull,288
Black-legged Kittiwake,318
Gull-billed Tern,337
Caspian Tern,349
River Tern,251
Lesser Crested Tern,302
Great Crested-Tern,333
Chinese Lesser Crested Tern,288
Roseate Ter,332
Black-naped Tern,200
Common Tern,479
Little Tern,307
Black-bellied Tern,238
Aleutian Tern,282
Bridled Tern,421
Sooty Tern,290
Whiskered Tern,494
White-winged Tern,335
Black Tern,243
Noddy Tern,226
White Tern,281
Marbled Murrelet,256
Short-billed Guillemot,316
Japanese Murrelet,204
Rhinoceros Auklet,199
Osprey,241
Jerdon's Baza,366
Black Baza,147
Oriental Honey-buzzard,278
Black-winged Kite,303
Black Kite,232
Black-eared Kite,211
Brahminy Kite,234
White-bellied Sea Eagle,278
Pallas's Sea-Eagle,0
White-tailed Sea Eagle,215
Steller's Sea-eagle,239
Lesser Fish-Eagle,323
Lammergeier,275
White-rumped Vulture,236
Himalayan Griffon,340
Eurasian Griffon,288
Cinereous Vulture,225
Red-headed Vulture,0
Short-toed Snake-Eagle,411
Crested Serpent-Eagle,0
Western Marsh-Harrier,356
Eastern Marsh-Harrier,331
Northern Harrier,453
Pallid Harrier,303
Pied Harrier,365
Montagu's Harrier,311
Crested Goshawk,371
Shikra,440
Chinese Sparrowhawk,408
Japanese Sparrowhawk,270
Besra,207
Eurasian Sparrowhawk,427
Northern Goshawk,449
White-eyed Buzzard,297
Rufous-winged Buzzard,265
Grey-faced Buzzard Eagle,236
Common Buzzard,272
Long-legged Buzzard,390
Upland Buzzard,186
Rough-legged Buzzard,300
Black Eagle,105
Greater Spotted Eagle,224
Steppe Eagle,238
Imperial Eagle,231
Golden Eagle,180
Bonelli's Hawk Eagle,279
Booted Eagle,241
Rufous-bellied Hawk Eagle,260
Mountain Hawk-Eagle,276
Collared Falconet,267
Pied Falconet,209
Lesser Kestrel,446
Common Kestrel,293
Red-footed Falcon,0
Amur Falcon,0
Merlin,0
Eurasian Hobby,0
Oriental Hobby,0
Saker Falcon,0
Gyrfalcon,0
Peregrine Falcon,0
Barbary Falcon,0
Little Grebe,0
Red-necked Grebe,0
Great Crested Grebe,0
Horned Grebe,0
Black-necked Grebe,0
Short-Tailed Tropicbird,0
Red-tailed Tropicbird,0
White-tailed Tropicbird,0
Masked Booby,0
Red-footed Booby,0
Brown Booby,0
Darter,0
Pygmy cormorant,0
Great Cormorant,0
Temminck's Cormorant,0
Red-faced Cormorant,0
Sea Cormorant,0
Little Egret,0
Chinese Egret,0
Reef Heron,0
Pied Heron,0
Grey Heron,0
White-Bellied Heron,0
Purple Heron,0
Large Egret,0
Intermediate Egret,0
Cattle Egret,0
Chinese Pond-Heron,0
Striated Heron,336
Black-crowned Night-Heron,352
White-eared Night Heron,435
Japanese Night Heron,287
Tiger Bittern,275
Little Bittern,304
Yellow Bittern,305
Von Schrenck's Bittern,272
Cinnamon Bittern,379
Black Bittern,381
Great Bittern,230
Greater Flamingo,300
Glossy Ibis,332
White Ibis,340
White-shouldered Ibis,232
Crested Ibis,268
White Spoonbill,325
Black-faced Spoonbill,410
Great White Pelican,456
Dalmatian Pelican,460
Spot-billed philippensis,432
Painted Stork,449
Black Stork,426
White Stork,327
Oriental White Stork,303
Lesser Adjutant,378
Great Frigatebird,433
Lesser Frigatebird,342
Christmas Island Frigatebird,336
Red-throated Loon,450
Black-throated Loon,430
Pacific Loon,317
Common Loon,471
Yellow-billed Loon,417
Northern Fulmar,463
Tahiti Petrel,246
Bonin Petrel,217
Bulwer's Petrel,242
Streaked Shearwater,282
Wedge-tailed Shearwater,260
Flesh-Footed Shearwater,276
Sooty Shearwater,298
Short-tailed Shearwater,262
Short-tailed Albatross,288
Black-footed Albatross,286
Laysan Albatross,283
Wilson's Storm-Petrel,301
Leach's Storm-Petrel,211
Swinhoe's Storm-Petrel,0
Matsudaira's Storm-Petrel,228
Eared Pitta,203
Blue-naped Pitta,275
Blue-rumped Pitta,296
Rusty-naped Pitta,267
Blue Pitta,285
Hooded Pitta,371
Fairy Pitta,270
Blue-winged Pitta,403
Silver-breasted Broadbill,323
Long-tailed Broadbill,245
Asian Fairy-bluebird,311
Blue-winged Leafbird,211
Golden-fronted Leafbird,0
Orange-bellied Leafbird,245
Tiger Shrike,295
Bull-headed Shrike,271
Red-backed Shrike,0
Rufous-tailed Shrike,0
Brown Shrike,0
Burmese Shrike,0
Long-tailed Shrike,0
Grey-backed Shrike,0
Lesser Grey Shrike,0
Northern Shrike,0
Chinese Grey Shrike,0
Eurasian Jay,256
Siberian Jay,0
Sichuan Jay,0
Taiwan Blue Magpie,0
Yellow-billed Blue Magpie,0
Red-billed Blue Magpie,0
White-winged Magpie,238
Green Magpie,212
Short-tailed Magpie,202
Azure-winged Magpie,312
Rufous Treepie,435
Grey Treepie,416
Collared Treepie,429
Racket-tailed Treepie,321
Ratchet-tailed Treepie,213
Black-billed Magpie,450
Mongolian Ground-Jay,391
Xinjiang Ground-Jay,244
Tibetan Ground-Jay,163
Spotted Nutcracker,451
Red-billed Chough,366
Yellow-billed Chough,308
Jackdaw,397
Daurian Jackdaw,430
House Crow,435
Rook,107
Carrion Crow,321
Large-billed Crow,406
Jungle Crow,318
Collared Crow,0
Common Raven,454
Ashy Woodswallow,306
Eurasian Golden-Oriole,414
Black-naped Oriole,377
Slender-billed Oriole,260
Black-hooded Oriole,404
Maroon Oriole,324
Silver Oriole,236
Lmge Cuckooshrike,437
Black-winged Cuckooshrike,433
Rosy Minivet,295
Swinhoe's Minivet,288
Ashy Minivet,443
Grey-throated Winivet,391
Long-tailed Minivet,424
Short-billed Minivet,437
Scarlet Minivet,362
Brown-backed pied shrike,438
Yellow-bellied Fantail,380
White-throated Fantail,346
White-browed Fantail,368
Black Drongo,437
Ashy Drongo,412
Crow-biled Drongo,424
Bronzed Drongo,389
Lesser Racquet-tailed Drongo,0
Spangled Drongo,429
Greater Racket-tailed Drongo,364
Black-naped Monarch,0
Japanese Paradise-Flycatcher,0
Asian Paradise-Flycatcher,0
Common Iora,0
Great Iora,291
Large Woodshrike,257
Bohemian Waxwing,318
Japanese Waxwing,391
White-throated Dipper,304
Brown Dipper,252
Rufous-tailed Rock-Thrush,328
Blue-capped Rock-Thrush,301
White-throated Rock Thrush,319
Chestnut-bellied RockThrush,349
Blue Rock-Thrush,483
Blue Whistling-Thrush,428
TaiwanWhistling Thrush,439
Orange-headed Thrush,458
Siberian Thrush,440
